BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
c00012_gnlPro...region003	c00012_gnlPro..	gnl|Prokka|JOBKCDGE_22	siderophore	Others		
c00013_gnlPro...region001	c00013_gnlPro..	gnl|Prokka|OJOJPOKM_27	siderophore	Others		
c00013_gnlPro...region002	c00013_gnlPro..	gnl|Prokka|BALGINPN_222	terpene.T3PKS	Others		
c00014_gnlPro...region001	c00014_gnlPro..	gnl|Prokka|INJLGPOM_14	siderophore	Others		
c00015_gnlPro...region001	c00015_gnlPro..	gnl|Prokka|PLAHONHL_16	siderophore	Others		
c00015_gnlPro...region002	c00015_gnlPro..	gnl|Prokka|PLAHONHL_16	T3PKS	PKSother		
c00016_gnlPro...region001	c00016_gnlPro..	gnl|Prokka|JIGFPPLC_16	siderophore	Others		
c00017_gnlPro...region001	c00017_gnlPro..	gnl|Prokka|HLGFMNBB_27	T3PKS	PKSother		
c00018_gnlPro...region001	c00018_gnlPro..	gnl|Prokka|IPDINEBC_18	terpene.T3PKS	Others		
c00019_gnlPro...region001	c00019_gnlPro..	gnl|Prokka|DMMFHILO_19	siderophore	Others		
c00019_gnlPro...region002	c00019_gnlPro..	gnl|Prokka|DMMFHILO_19	LAP	RiPPs		
c00020_gnlPro...region001	c00020_gnlPro..	gnl|Prokka|DHJBFFDH_20	LAP	RiPPs		
c00021_gnlPro...region001	c00021_gnlPro..	gnl|Prokka|IJPGPKLD_21	furan	Others		
c00021_gnlPro...region002	c00021_gnlPro..	gnl|Prokka|PCIJMFOK_28	siderophore	Others		
c00022_gnlPro...region001	c00022_gnlPro..	gnl|Prokka|FAJLLJMA_25	bacteriocin	RiPPs		
c00022_gnlPro...region002	c00022_gnlPro..	gnl|Prokka|INJLGPOM_22	siderophore	Others		
c00023_gnlPro...region001	c00023_gnlPro..	gnl|Prokka|BGHEFFMJ_24	CDPS	Others		
c00024_gnlPro...region001	c00024_gnlPro..	gnl|Prokka|BGHEFFMJ_25	siderophore	Others		
c00025_gnlPro...region001	c00025_gnlPro..	gnl|Prokka|EHOPHGMD_26	NRPS	NRPS		
c00026_gnlPro...region001	c00026_gnlPro..	gnl|Prokka|DJJMIKAL_33	LAP	RiPPs		
c00027_gnlPro...region001	c00027_gnlPro..	gnl|Prokka|DAFNCOFO_35	NRPS	NRPS		
c00028_gnlPro...region001	c00028_gnlPro..	gnl|Prokka|DJJMIKAL_52	siderophore	Others		
c00029_gnlPro...region001	c00029_gnlPro..	gnl|Prokka|HPGMPKAP_48	CDPS	Others		
c00029_gnlPro...region002	c00029_gnlPro..	gnl|Prokka|DJJMIKAL_53	siderophore	Others		
c00030_gnlPro...region001	c00030_gnlPro..	gnl|Prokka|DMMFHILO_30	LAP	RiPPs		
c00031_gnlPro...region001	c00031_gnlPro..	gnl|Prokka|IPDINEBC_31	siderophore	Others		
c00032_gnlPro...region001	c00032_gnlPro..	gnl|Prokka|DMMFHILO_32	thiopeptide	RiPPs		
c00032_gnlPro...region002	c00032_gnlPro..	gnl|Prokka|DMMFHILO_32	siderophore	Others		
c00033_gnlPro...region001	c00033_gnlPro..	gnl|Prokka|FAJLLJMA_36	CDPS	Others		
c00034_gnlPro...region001	c00034_gnlPro..	gnl|Prokka|FAJLLJMA_37	bacteriocin	RiPPs		
c00035_gnlPro...region001	c00035_gnlPro..	gnl|Prokka|DMMFHILO_35	CDPS	Others		
c00035_gnlPro...region002	c00035_gnlPro..	gnl|Prokka|NMKLMGFH_84	siderophore	Others		
c00037_gnlPro...region001	c00037_gnlPro..	gnl|Prokka|KHOAEKIA_63	CDPS	Others		
c00038_gnlPro...region001	c00038_gnlPro..	gnl|Prokka|JKHELBAC_55	NRPS	NRPS		
c00039_gnlPro...region001	c00039_gnlPro..	gnl|Prokka|INJLGPOM_64	bacteriocin	RiPPs		
c00040_gnlPro...region001	c00040_gnlPro..	gnl|Prokka|BGHEFFMJ_45	siderophore	Others		
c00041_gnlPro...region001	c00041_gnlPro..	gnl|Prokka|BGHEFFMJ_56	bacteriocin	RiPPs		
c00043_gnlPro...region001	c00043_gnlPro..	gnl|Prokka|BGHEFFMJ_74	bacteriocin	RiPPs		
c00044_gnlPro...region001	c00044_gnlPro..	gnl|Prokka|OJOJPOKM_99	CDPS	Others		
c00045_gnlPro...region001	c00045_gnlPro..	gnl|Prokka|IJPGPKLD_45	terpene	Terpene		
c00046_gnlPro...region001	c00046_gnlPro..	gnl|Prokka|IJOLGDCI_49	NRPS	NRPS		
c00047_gnlPro...region001	c00047_gnlPro..	gnl|Prokka|PDCLAJNK_76	lanthipeptide	RiPPs		
c00048_gnlPro...region001	c00048_gnlPro..	gnl|Prokka|ONKOLKPD_48	siderophore	Others		
c00050_gnlPro...region001	c00050_gnlPro..	gnl|Prokka|PDCLAJNK_79	NRPS	NRPS		
c00051_gnlPro...region001	c00051_gnlPro..	gnl|Prokka|JIGFPPLC_51	lanthipeptide	RiPPs		
c00052_gnlPro...region001	c00052_gnlPro..	gnl|Prokka|MHLOJDLD_124	T3PKS	PKSother		
c00054_gnlPro...region001	c00054_gnlPro..	gnl|Prokka|MJAGDIAD_69	siderophore	Others		
c00056_gnlPro...region001	c00056_gnlPro..	gnl|Prokka|HPGMPKAP_200	siderophore	Others		
c00062_gnlPro...region001	c00062_gnlPro..	gnl|Prokka|IJPGPKLD_62	T3PKS	PKSother		
c00064_gnlPro...region001	c00064_gnlPro..	gnl|Prokka|DAFNCOFO_75	siderophore	Others		
c00065_gnlPro...region001	c00065_gnlPro..	gnl|Prokka|MHLOJDLD_138	NRPS	NRPS		
c00066_gnlPro...region001	c00066_gnlPro..	gnl|Prokka|MJAGDIAD_81	NRPS	NRPS		
c00070_gnlPro...region001	c00070_gnlPro..	gnl|Prokka|FAJLLJMA_81	siderophore	Others		
c00073_gnlPro...region001	c00073_gnlPro..	gnl|Prokka|HPGMPKAP_217	LAP	RiPPs		
c00077_gnlPro...region001	c00077_gnlPro..	gnl|Prokka|HNPJFCIA_77	lanthipeptide	RiPPs		
c00079_gnlPro...region001	c00079_gnlPro..	gnl|Prokka|GFBPJCFC_79	NRPS	NRPS		
c00082_gnlPro...region001	c00082_gnlPro..	gnl|Prokka|KKLCPFEP_82	lanthipeptide	RiPPs		
c00089_gnlPro...region001	c00089_gnlPro..	gnl|Prokka|GFBPJCFC_89	siderophore	Others		
c00098_gnlPro...region001	c00098_gnlPro..	gnl|Prokka|BOIIOIPH_134	T3PKS	PKSother		
c00104_gnlPro...region001	c00104_gnlPro..	gnl|Prokka|BOIIOIPH_141	NRPS	NRPS		
c00111_gnlPro...region001	c00111_gnlPro..	gnl|Prokka|ONKOLKPD_111	T3PKS	PKSother		
c00113_gnlPro...region001	c00113_gnlPro..	gnl|Prokka|HPGMPKAP_262	head_to_tail.sactipeptide	RiPPs		
c00218_gnlPro...region001	c00218_gnlPro..	gnl|Prokka|GFBPJCFC_218	T3PKS	PKSother		
